Default AI model: gemini-2.5-pro



2026/01/11 06:21:38 INFO Creating file structure
2026/01/11 06:21:54 INFO finished "total completed"=60 "total URLs"=77
2026/01/11 06:21:54 INFO finished "total completed"=61 "total URLs"=77
2026/01/11 06:21:54 INFO finished "total completed"=62 "total URLs"=77
2026/01/11 06:21:54 INFO finished "total completed"=63 "total URLs"=77
2026/01/11 06:21:57 INFO finished "total completed"=64 "total URLs"=77
2026/01/11 06:21:57 INFO finished "total completed"=65 "total URLs"=77
2026/01/11 06:21:57 INFO finished "total completed"=66 "total URLs"=77
2026/01/11 06:21:57 INFO finished "total completed"=67 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=68 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=69 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=70 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=71 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=72 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=73 "total URLs"=77
2026/01/11 06:21:58 INFO finished "total completed"=74 "total URLs"=77
2026/01/11 06:21:59 INFO finished "total completed"=75 "total URLs"=77
2026/01/11 06:22:00 INFO finished "total completed"=76 "total URLs"=77
2026/01/11 06:22:08 INFO finished "total completed"=77 "total URLs"=77
2026/01/11 06:22:08 ERROR Completed all operations errors="failed to process https://www.businesswire.com/news/home/20201208005479/en/Tavant-Launches-Banktech-Practice-With-Existing-AIML-Technology-for-Transformative-Experiences: failed to fetch URL: failed to execute request: Get \"https://www.businesswire.com/news/home/20201208005479/en/Tavant-Launches-Banktech-Practice-With-Existing-AIML-Technology-for-Transformative-Experiences\": stream error: stream ID 1; INTERNAL_ERROR; received from peer\nfailed to process https://www.businesswire.com/news/home/20210610005594/en/Tavant-LoanBeam-Partner-to-Enhance-Digital-Mortgage-Experience-with-Automated-Income-Calculation: failed to fetch URL: failed to execute request: Get \"https://www.businesswire.com/news/home/20210610005594/en/Tavant-LoanBeam-Partner-to-Enhance-Digital-Mortgage-Experience-with-Automated-Income-Calculation\": stream error: stream ID 3; INTERNAL_ERROR; received from peer\n"
